Symbol,Series,Date,Close,Open,High,Low,Volume
HDFC,EQ,15-Nov-21,2992.65,3004,3021.1,2971,3248126
HDFC,W3,15-Nov-21,982.75,980,995,965,34200
HDFC,EQ,16-Nov-21,3000.85,2986.2,2999.25,2957.7,4242014
HDFC,W3,16-Nov-21,989.8,985,985,950,15000
HDFC,EQ,17-Nov-21,2975.45,2956.1,2977.2,2932.25,2398355
HDFC,W3,17-Nov-21,961,934.25,960,934.25,18600
HDFC,EQ,18-Nov-21,2948.4,2936.1,2964.05,2916.75,3481704
HDFC,W3,18-Nov-21,939.95,937,937,910,27600
HDFC,EQ,22-Nov-21,2925.4,2902,2934,2885.15,3951901
HDFC,W3,22-Nov-21,913.75,910.9,911,870.8,13800
HDFC,EQ,23-Nov-21,2894.85,2855,2915,2855,3340056
HDFC,W3,23-Nov-21,883.35,872,897,872,38400
HDFC,EQ,24-Nov-21,2906.5,2905.05,2923,2864.5,2318225
HDFC,W3,24-Nov-21,891,900,901,865.55,16800
HDFC,EQ,25-Nov-21,2883.55,2890.45,2890.45,2847,2221089
HDFC,W3,25-Nov-21,879.2,865,887.95,848,31200
HDFC,EQ,26-Nov-21,2867.75,2820.35,2856,2723,3353278
HDFC,W3,26-Nov-21,868.55,825,830,790.3,339000
HDFC,EQ,29-Nov-21,2741.7,2745,2747.5,2682.3,3571428
HDFC,W3,29-Nov-21,818.9,801.1,820.65,781.1,64800
HDFC,EQ,30-Nov-21,2713.8,2665,2764.9,2656,7628539
HDFC,W3,30-Nov-21,816.4,833,843,775,55200
HDFC,EQ,01-Dec-21,2673.1,2712.8,2757.45,2696.2,3847384
HDFC,W3,01-Dec-21,778.45,818.95,830.05,793.5,26400
HDFC,EQ,02-Dec-21,2703.65,2701.05,2814.95,2701.05,4570690
HDFC,W3,02-Dec-21,797.5,812.95,855,812.95,29400
HDFC,EQ,03-Dec-21,2807.8,2790,2823.95,2765,2961572
HDFC,W3,03-Dec-21,850.35,853.35,860,812,72600
HDFC,EQ,06-Dec-21,2771.65,2774.5,2799.9,2760,1683131
HDFC,W3,06-Dec-21,850,866.5,866.7,845,4800
HDFC,EQ,07-Dec-21,2768.8,2795,2838.05,2769.45,2543784
HDFC,W3,07-Dec-21,845,864.9,887,864.9,27600
HDFC,EQ,08-Dec-21,2817.5,2825.25,2864,2820.05,1772235
HDFC,W3,08-Dec-21,868.1,883.8,901,883.15,27600
HDFC,EQ,09-Dec-21,2853,2872,2877.75,2829.05,2036491
HDFC,W3,09-Dec-21,885.65,898.9,898.9,867,12600
HDFC,EQ,10-Dec-21,2842.05,2823.3,2838.25,2788.5,3455657
HDFC,W3,10-Dec-21,874,855,855,846.15,37200
HDFC,EQ,13-Dec-21,2808.75,2832.8,2838.8,2766.05,2661378
HDFC,W3,13-Dec-21,847.95,865.45,865.45,818.5,13200
HDFC,EQ,14-Dec-21,2771.85,2750,2764,2720.6,2039433
HDFC,W3,14-Dec-21,822.55,801.65,820,791.7,42600
HDFC,EQ,15-Dec-21,2751.95,2755,2759.95,2715,1355100
HDFC,W3,15-Dec-21,812.65,804,806.95,793,34800
HDFC,EQ,16-Dec-21,2721.8,2749.4,2755.25,2687.8,3149777
HDFC,W3,16-Dec-21,799.5,812.75,812.75,787.05,16200
HDFC,EQ,17-Dec-21,2699.6,2700,2712.3,2611,4503515
HDFC,W3,17-Dec-21,797.7,790,790,755.05,81000
HDFC,EQ,20-Dec-21,2617.35,2594,2594,2506.05,3483707
HDFC,W3,20-Dec-21,760.8,781.1,781.1,701.6,55800
HDFC,EQ,21-Dec-21,2550.3,2583.75,2588.9,2530,2502122
HDFC,W3,21-Dec-21,745,747,782,747,3600
HDFC,EQ,22-Dec-21,2540.85,2551.95,2557.15,2520.15,2763684
HDFC,W3,22-Dec-21,750,760,760,740.5,5400
HDFC,EQ,23-Dec-21,2539,2558,2582,2543.35,1777068
HDFC,W3,23-Dec-21,759.8,775,775,763,3600
HDFC,EQ,24-Dec-21,2571.15,2585,2585,2525.5,1033480
HDFC,W3,24-Dec-21,772,744.9,758,741.05,11400
HDFC,EQ,27-Dec-21,2534.55,2520,2564.9,2509.45,915233
HDFC,W3,27-Dec-21,747.05,750,760,750,2400
HDFC,EQ,28-Dec-21,2558.85,2579.8,2587.85,2548,1634180
HDFC,W3,28-Dec-21,760,755,763.8,747.2,7200
HDFC,EQ,29-Dec-21,2565.35,2575,2581,2551,1474656
HDFC,W3,29-Dec-21,751,765,765,760.5,1200
HDFC,EQ,30-Dec-21,2563.55,2561.3,2579.8,2545.4,1558019
HDFC,W3,30-Dec-21,760.5,769.75,780,765,6600
HDFC,EQ,31-Dec-21,2563.7,2565,2608.65,2561,2289067
HDFC,W3,31-Dec-21,778,785,785,780,3000
HDFC,EQ,03-Jan-22,2586.45,2594,2640,2587.1,1256497
HDFC,W3,03-Jan-22,780,781.1,814,777.1,39000
HDFC,EQ,04-Jan-22,2636.4,2645,2678.7,2620.35,1846249
HDFC,W3,04-Jan-22,802.25,800,808,792.7,6000
HDFC,EQ,05-Jan-22,2675.3,2680.95,2695.45,2652.3,3743882
HDFC,W3,05-Jan-22,808,800,808,800,11400
HDFC,EQ,06-Jan-22,2673.65,2646.35,2654.75,2603.5,4616700
HDFC,W3,06-Jan-22,808,800,800,772,9000
HDFC,EQ,07-Jan-22,2620.4,2606.05,2618.3,2585,6185361
HDFC,W3,07-Jan-22,774.7,770,780,763.05,12000
HDFC,EQ,10-Jan-22,2596.7,2601.9,2665.05,2601.9,5328083
HDFC,W3,10-Jan-22,764,770,797,765,30000
HDFC,EQ,11-Jan-22,2659.65,2664,2729,2664,4170007
HDFC,W3,11-Jan-22,780.5,780.5,805,780.5,18000
HDFC,EQ,12-Jan-22,2710.95,2736,2752,2713.05,2695634
HDFC,W3,12-Jan-22,795,800,809.9,795,20400
HDFC,EQ,13-Jan-22,2737.5,2750,2762,2726.1,2011413
HDFC,W3,13-Jan-22,798.95,808,817.9,806,7800
HDFC,EQ,14-Jan-22,2756,2712,2731.6,2687.3,1765906
HDFC,W3,14-Jan-22,809.4,784.5,815.05,775.05,25800
HDFC,EQ,17-Jan-22,2712.45,2710.6,2733.1,2692.5,1614989
HDFC,W3,17-Jan-22,803,810.05,810.05,786,11400
HDFC,EQ,18-Jan-22,2702.7,2713,2713.55,2656.8,2086266
HDFC,W3,18-Jan-22,798,790.05,798.5,785.05,17400
HDFC,EQ,19-Jan-22,2662.5,2681,2698.85,2608.1,1793748
HDFC,W3,19-Jan-22,790.8,782,782,762,7800
HDFC,EQ,20-Jan-22,2620.25,2612.65,2630,2543.4,3759429
HDFC,W3,20-Jan-22,769.85,751,759.75,749.5,7800
HDFC,EQ,21-Jan-22,2569.3,2553.5,2605.35,2542.05,3952946
HDFC,W3,21-Jan-22,754.9,760,765,752.5,5400
HDFC,EQ,24-Jan-22,2592.95,2571.65,2601.8,2510.35,2340062
HDFC,W3,24-Jan-22,757.8,744,744,682.05,144000
HDFC,EQ,25-Jan-22,2539.8,2500,2540.7,2473.8,4528568
HDFC,W3,25-Jan-22,700.25,699.5,708,690,5400
HDFC,EQ,27-Jan-22,2530.6,2505.6,2514,2448.6,6600059
HDFC,W3,27-Jan-22,708,680,709,672.1,80400
HDFC,EQ,28-Jan-22,2503.35,2513.7,2556.8,2488.7,4885166
HDFC,W3,28-Jan-22,707,710.05,730,710.05,27600
HDFC,EQ,31-Jan-22,2516.5,2541.8,2561.4,2513.15,3306726
HDFC,W3,31-Jan-22,719.9,733.55,733.55,720,4800
HDFC,EQ,01-Feb-22,2521,2552.6,2596,2510.3,2980741
HDFC,W3,01-Feb-22,726,730,765.05,730,24600
HDFC,EQ,02-Feb-22,2565.35,2583.2,2623.3,2580.7,4160178
HDFC,W3,02-Feb-22,763.85,768,780,752.1,31200
HDFC,EQ,03-Feb-22,2612.95,2613,2620,2520,4647089
HDFC,W3,03-Feb-22,758,740.05,745.55,720.1,9000
HDFC,EQ,04-Feb-22,2527.8,2546.5,2547,2497,4404184
HDFC,W3,04-Feb-22,722.05,734.9,747.5,720,14400
HDFC,EQ,07-Feb-22,2503.25,2488.5,2512.1,2420,3664108
HDFC,W3,07-Feb-22,722,705.75,712,675,41400
HDFC,EQ,08-Feb-22,2428.15,2441,2452,2405,6127473
HDFC,W3,08-Feb-22,678.2,680,688.45,660.05,28800
HDFC,EQ,09-Feb-22,2414.6,2432,2442.5,2402.5,7141774
HDFC,W3,09-Feb-22,672.2,671,687,660.1,25800
HDFC,EQ,10-Feb-22,2435.35,2462,2505.7,2441.6,6346218
HDFC,W3,10-Feb-22,675.05,689.8,704.9,685.1,36000
HDFC,EQ,11-Feb-22,2476.55,2449.95,2449.95,2417.1,4062444
HDFC,W3,11-Feb-22,686.55,656.1,670.55,646,44400
HDFC,EQ,14-Feb-22,2426.35,2390,2390,2290,5903697
HDFC,W3,14-Feb-22,647.6,600,644,600,45000
HDFC,EQ,15-Feb-22,2296.8,2319.75,2345,2286.85,9153706
HDFC,W3,15-Feb-22,603,614.7,633.9,610,171600
HDFC,EQ,16-Feb-22,2340.25,2341,2403.85,2341,8005225
HDFC,W3,16-Feb-22,625,635,642,622,19200
HDFC,EQ,17-Feb-22,2363.85,2389.95,2426,2361.8,5317679
HDFC,W3,17-Feb-22,623.95,642,642,621,33000
HDFC,EQ,18-Feb-22,2411.8,2411.8,2451,2402.4,3725963
HDFC,W3,18-Feb-22,630.75,639.75,654,639.75,27600
HDFC,EQ,21-Feb-22,2441.15,2424.95,2447.65,2410,2979739
HDFC,W3,21-Feb-22,640.5,640,655,640,16200
HDFC,EQ,22-Feb-22,2436.8,2385.1,2462.25,2373.15,4604370
HDFC,W3,22-Feb-22,640.6,610,635,610,21600
